Product Name,Name,Packages Group,City (from Packages Group),Product Type,Product Source,Product Provider,From Date,To Date,Product Duration (Number of weeks),Item Description,Price,GST Included,Installment Plan,Default Payment Term,Number Of Payments,Minimum Payment,Product Priority,Product Grade,Recommend,Display On Quote,Display On Invoice,Quote Product,Contract Product,Invoice Product,Last Modified,Created,Quote,Application_TS Program,Camp MGT,Package Products
Thanks Tour_Puffing Billy & Phillip Island,Puffing Billy & Phillip Island,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",Day Tour,Time Study,Thanks Tour,,,,,$280.00,,,,,,,,,,,,,,2026-02-26 11:30pm,2026-01-15 12:31am,,,,"2026 Jul-Melbourne_Collingwood Schooling-A Package 1 Adult / 1 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Collingwood Schooling-B Package 1 Adult / 2 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Collingwood Schooling-C Package 2 Adult / 1 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Collingwood Schooling-D Package 2 Adult / 2 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Oakleigh Schooling-A Package 1 Adult / 1 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Oakleigh Schooling-B Package 1 Adult / 2 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Oakleigh Schooling-C Package 2 Adult / 1 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Oakleigh Schooling-D Package 2 Adult / 2 Child-Puffing Billy & Phillip Island,2026 Jul-Melbourne_Oakleigh Schooling-E Package 1 Child Only-Puffing Billy & Phillip Island"
Thanks Tour_Sovereign Hill,Sovereign Hill,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",Day Tour,Time Study,Thanks Tour,,,,,$195.00,,,,,,,,,,,,,,2026-02-22 2:32am,2026-01-15 12:31am,,,,
Time Study_Kindergarten_Service Fee,Kindergarten_Service Fee,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Time Study,,,,,$200.00,,,,,,,,,,,,,,2026-01-15 1:44am,2026-01-15 12:31am,,,,
Time Study_Kindergarten_Enrollment,Kindergarten_Enrollment,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Time Study,,,,,$300.00,,,,,,,,,,,,,,2026-01-15 1:44am,2026-01-15 12:31am,,,,
Time Study_Kindergarten Tuition Fee,Kindergarten Tuition Fee,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Time Study,,,,,$180.00,,,,,,,,,,,,,,2026-01-15 1:44am,2026-01-15 12:31am,,,,
Vodafone Australia_Vodafone Prepaid Simcard,Vodafone Prepaid Simcard,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Vodafone Australia,,,,,$35.00,,,,,,,,,,,"QTE P-7,QTE P-9,QTE P-10",,,2026-01-16 12:47am,2026-01-15 12:31am,,,,
Transport Victoria_Miki Card - Adult,Miki Card - Adult,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Transport Victoria,,,,,$36.00,,,,,,,,,,,,,,2026-01-15 1:44am,2026-01-15 12:31am,,,,
Transport Victoria_Miki Card - Child,Miki Card - Child,"2026 Jul-Melbourne_Collingwood Schooling,2026 Jul-Melbourne_Oakleigh Schooling,2026 Aug-Melbourne_Oakleigh Schooling","Melbourne,Melbourne,Melbourne",,Time Study,Transport Victoria,,,,,$18.00,,,,,,,,,,,,,,2026-01-15 1:44am,2026-01-15 12:31am,,,,
_Great Barrier Reef Cruise,Great Barrier Reef Cruise,2026 Jul-Melbourne_Collingwood Schooling,Melbourne,Day Tour,,,,,,,,,,,,,,,,,,,,,2026-02-26 11:15pm,2026-02-26 3:15pm,,,,"-Great Barrier Reef Cruise,-Great Barrier Reef Cruise,-Great Barrier Reef Cruise"
_Magnetic Island Tour,Magnetic Island Tour,2026 Jul-Melbourne_Collingwood Schooling,Melbourne,Day Tour,,,,,,,,,,,,,,,,,,,,,2026-02-26 11:15pm,2026-02-26 3:19pm,,,,"-Magnetic Island Tour,-Magnetic Island Tour,-Magnetic Island Tour"
